store;id;name;priceDate;price;isBudgetBrand;quantity;unit;isWeighted;isBio;isAvailable;url
billa;"00-89280";Clever Apfel rot aus Österreich;2020-03-07;2.19;true;2000;g;false;false;true;https://shop.billa.at/produkte/00-89280;
spar;"8798732156929";S-BUDGET Cremejogurt Kaffee;2023-04-15;0.45;true;150;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8798732156929;
spar;"8798732156929";S-BUDGET Cremejogurt Kaffee;2022-12-03;0.49;true;150;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8798732156929;
spar;"8798732156929";S-BUDGET Cremejogurt Kaffee;2020-04-28;0.39;true;150;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8798732156929;
spar;"8798732156929";S-BUDGET Cremejogurt Kaffee;2020-03-10;0.42;true;150;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8798732156929;
spar;"8798732156929";S-BUDGET Cremejogurt Kaffee;2020-03-07;0.39;true;150;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8798732156929;
billa;"00-655232";Clever Joghurt Kaffee;2023-05-15;0.45;true;180;g;false;false;true;https://shop.billa.at/produkte/00-655232;
billa;"00-655232";Clever Joghurt Kaffee;2020-03-20;0.37;true;180;g;false;false;true;https://shop.billa.at/produkte/00-655232;
billa;"00-655232";Clever Joghurt Kaffee;2020-03-07;0.39;true;180;g;false;false;true;https://shop.billa.at/produkte/00-655232;
spar;"8804063412225";S-BUDGET Schoko-Eis;2023-03-25;2.29;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8804063412225;
spar;"8804063412225";S-BUDGET Schoko-Eis;2022-12-03;1.89;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8804063412225;
spar;"8804063412225";S-BUDGET Schoko-Eis;2020-03-07;1.49;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8804063412225;
billa;"00-624939";Clever Schokoladen Eis;2023-05-15;2.29;true;1000;ml;false;false;true;https://shop.billa.at/produkte/00-624939;
billa;"00-624939";Clever Schokoladen Eis;2020-03-07;1.49;true;1000;ml;false;false;true;https://shop.billa.at/produkte/00-624939;
spar;"8799209357313";S-BUDGET Schokopudding mit Sahne;2022-12-31;0.49;true;200;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799209357313;
spar;"8799209357313";S-BUDGET Schokopudding mit Sahne;2022-12-03;0.45;true;200;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799209357313;
spar;"8799209357313";S-BUDGET Schokopudding mit Sahne;2020-04-28;0.27;true;200;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799209357313;
spar;"8799209357313";S-BUDGET Schokopudding mit Sahne;2020-03-10;0.29;true;200;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799209357313;
spar;"8799209357313";S-BUDGET Schokopudding mit Sahne;2020-03-07;0.27;true;200;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799209357313;
billa;"00-621279";Clever Schokolade Pudding mit Sahne;2023-05-15;0.49;true;200;g;false;false;true;https://shop.billa.at/produkte/00-621279;
billa;"00-621279";Clever Schokolade Pudding mit Sahne;2020-04-23;0.27;true;200;g;false;false;true;https://shop.billa.at/produkte/00-621279;
billa;"00-621279";Clever Schokolade Pudding mit Sahne;2020-03-07;0.29;true;200;g;false;false;true;https://shop.billa.at/produkte/00-621279;
spar;"8807235551233";S-BUDGET Schoko-Bananen;2023-04-08;3.29;true;600;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8807235551233;
spar;"8807235551233";S-BUDGET Schoko-Bananen;2023-03-25;2.99;true;600;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8807235551233;
spar;"8807235551233";S-BUDGET Schoko-Bananen;2023-02-11;2.79;true;600;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8807235551233;
spar;"8807235551233";S-BUDGET Schoko-Bananen;2022-12-10;2.99;true;600;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8807235551233;
spar;"8807235551233";S-BUDGET Schoko-Bananen;2022-12-03;2.79;true;600;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8807235551233;
billa;"00-644014";Clever Schokobananen;2023-05-15;3.29;true;600;g;false;false;true;https://shop.billa.at/produkte/00-644014;
billa;"00-644014";Clever Schokobananen;2020-03-07;2.49;true;600;g;false;false;true;https://shop.billa.at/produkte/00-644014;
spar;"8799248089089";S-BUDGET Gemüsemais 3 x 150g;2022-12-03;1.99;true;450;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799248089089;
spar;"8799248089089";S-BUDGET Gemüsemais 3 x 150g;2020-03-07;1.39;true;450;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799248089089;
billa;"00-356300";Clever Gemüsemais 3er Pack;2023-05-15;1.99;true;450;g;false;false;true;https://shop.billa.at/produkte/00-356300;
spar;"8800094257153";S-BUDGET Ananasscheiben;2022-12-03;2.29;true;825;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800094257153;
spar;"8800094257153";S-BUDGET Ananasscheiben;2020-07-01;1.89;true;825;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800094257153;
spar;"8800094257153";S-BUDGET Ananasscheiben;2020-04-17;1.59;true;825;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800094257153;
billa;"00-479352";Clever Ananas Scheiben in Ananassaft;2023-05-15;2.29;true;825;g;false;false;true;https://shop.billa.at/produkte/00-479352;
spar;"8804064493569";S-BUDGET Wurst-Salat Wurstsalat 400g;2023-04-08;1.59;true;400;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8804064493569;
spar;"8804064493569";S-BUDGET Wurst-Salat Wurstsalat 400g;2022-12-17;1.69;true;400;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8804064493569;
spar;"8804064493569";S-BUDGET Wurst-Salat Wurstsalat 400g;2022-12-03;1.59;true;400;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8804064493569;
spar;"8804064493569";S-BUDGET Wurst-Salat Wurstsalat 400g;2020-05-21;1.69;true;400;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8804064493569;
spar;"8804064493569";S-BUDGET Wurst-Salat Wurstsalat 400g;2020-03-07;1.49;true;400;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8804064493569;
billa;"00-499871";Clever Wurstsalat;2023-05-15;1.59;true;400;g;false;false;true;https://shop.billa.at/produkte/00-499871;
spar;"8799981207553";S-BUDGET Milchschokolade;2023-03-04;0.69;true;100;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799981207553;
spar;"8799981207553";S-BUDGET Milchschokolade;2022-12-03;0.59;true;100;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799981207553;
spar;"8799981207553";S-BUDGET Milchschokolade;2020-03-07;0.55;true;100;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799981207553;
billa;"00-769715";Clever Alpenvollmilch Schokolade;2023-05-15;0.69;true;100;g;false;false;true;https://shop.billa.at/produkte/00-769715;
billa;"00-769715";Clever Alpenvollmilch Schokolade;2020-03-07;0.55;true;100;g;false;false;true;https://shop.billa.at/produkte/00-769715;
spar;"8798944198657";S-BUDGET Snack Sticks gesalzen;2022-12-03;1.49;true;150;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8798944198657;
spar;"8798944198657";S-BUDGET Snack Sticks gesalzen;2020-03-07;1.29;true;150;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8798944198657;
billa;"00-699649";Clever Gebäckstangen Meersalz;2023-05-15;1.49;true;150;g;false;false;true;https://shop.billa.at/produkte/00-699649;
billa;"00-699649";Clever Gebäckstangen Meersalz;2020-03-07;1.29;true;150;g;false;false;true;https://shop.billa.at/produkte/00-699649;
spar;"8800335134721";S-BUDGET Latte Macchiato;2022-12-31;0.85;true;250;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800335134721;
spar;"8800335134721";S-BUDGET Latte Macchiato;2022-12-03;0.75;true;250;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800335134721;
spar;"8800335134721";S-BUDGET Latte Macchiato;2020-07-06;0.59;true;250;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800335134721;
spar;"8800335134721";S-BUDGET Latte Macchiato;2020-03-07;0.58;true;250;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800335134721;
billa;"00-810158";Clever Eiscafé Latte Macchiato;2023-05-15;0.85;true;250;ml;false;false;true;https://shop.billa.at/produkte/00-810158;
